epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,70.6368,0.81264,1.44379,1.31238,0.70987,0.65,0.69898,0.43182,1.6574,1.62545,1.40131,2.98114e-05,2.98114e-05,2.98114e-05
48,72.3383,0.85688,1.619,1.20506,0.70987,0.65,0.69898,0.43182,1.6574,1.62545,1.40131,2.99058e-05,2.99058e-05,2.99058e-05
49,74.1582,0.66573,0.70024,1.25167,0.74805,0.65,0.69701,0.4298,1.66703,1.64176,1.40601,2.99766e-05,2.99766e-05,2.99766e-05
50,75.9592,0.78214,0.78859,1.28679,0.74805,0.65,0.69701,0.4298,1.66703,1.64176,1.40601,3.00238e-05,3.00238e-05,3.00238e-05
51,77.7481,0.82634,0.86369,1.1239,0.75834,0.65,0.69301,0.42659,1.63957,1.65698,1.39817,3.00475e-05,3.00475e-05,3.00475e-05
52,79.3636,0.93403,0.96069,1.31317,0.75834,0.65,0.69301,0.42659,1.63957,1.65698,1.39817,3.00476e-05,3.00476e-05,3.00476e-05
53,81.1267,0.65106,0.70961,1.18007,0.75834,0.65,0.69301,0.42659,1.63957,1.65698,1.39817,3.00242e-05,3.00242e-05,3.00242e-05
54,82.8829,0.82665,0.94947,1.26936,0.72237,0.65,0.68047,0.41486,1.63612,1.72521,1.40614,2.99772e-05,2.99772e-05,2.99772e-05
55,84.1583,0.78638,0.92519,1.11957,0.72237,0.65,0.68047,0.41486,1.63612,1.72521,1.40614,2.99066e-05,2.99066e-05,2.99066e-05
56,85.6653,1.15889,1.42035,1.63173,0.72237,0.65,0.68047,0.41486,1.63612,1.72521,1.40614,2.98125e-05,2.98125e-05,2.98125e-05
57,87.3761,0.92563,1.52144,1.36615,0.70717,0.67943,0.68239,0.3989,1.65579,1.74908,1.42042,2.96948e-05,2.96948e-05,2.96948e-05
58,88.8727,0.85833,1.49166,1.2719,0.70717,0.67943,0.68239,0.3989,1.65579,1.74908,1.42042,2.95535e-05,2.95535e-05,2.95535e-05
59,90.3605,0.78582,0.81828,1.15817,0.70717,0.67943,0.68239,0.3989,1.65579,1.74908,1.42042,2.93887e-05,2.93887e-05,2.93887e-05
60,92.2318,0.9342,0.83008,1.51747,0.73983,0.51667,0.68456,0.40069,1.68003,1.77718,1.4422,2.92003e-05,2.92003e-05,2.92003e-05
61,93.7131,0.6468,0.68599,1.06303,0.73983,0.51667,0.68456,0.40069,1.68003,1.77718,1.4422,2.89884e-05,2.89884e-05,2.89884e-05
62,95.1899,0.71018,0.90636,1.0525,0.73983,0.51667,0.68456,0.40069,1.68003,1.77718,1.4422,2.87529e-05,2.87529e-05,2.87529e-05
63,96.9912,0.79219,0.8585,1.16714,0.82326,0.48586,0.68299,0.40131,1.6604,1.82791,1.4443,2.84938e-05,2.84938e-05,2.84938e-05
64,98.7434,0.62459,0.64124,1.06689,0.82326,0.48586,0.68299,0.40131,1.6604,1.82791,1.4443,2.82112e-05,2.82112e-05,2.82112e-05
65,100.338,0.69058,0.69955,1.23915,0.82326,0.48586,0.68299,0.40131,1.6604,1.82791,1.4443,2.7905e-05,2.7905e-05,2.7905e-05
66,102.107,0.69657,0.9596,1.09117,0.81635,0.4862,0.60047,0.3329,1.68823,1.88662,1.44883,2.75753e-05,2.75753e-05,2.75753e-05
67,103.564,0.73434,1.13822,1.1033,0.81635,0.4862,0.60047,0.3329,1.68823,1.88662,1.44883,2.7222e-05,2.7222e-05,2.7222e-05
68,104.953,1.02064,1.74283,1.37654,0.81635,0.4862,0.60047,0.3329,1.68823,1.88662,1.44883,2.68451e-05,2.68451e-05,2.68451e-05
69,106.37,0.61232,1.11324,1.10452,0.83464,0.48373,0.55655,0.29771,1.70459,1.94651,1.44042,2.64447e-05,2.64447e-05,2.64447e-05
70,107.632,1.04595,0.88653,1.48395,0.83464,0.48373,0.55655,0.29771,1.70459,1.94651,1.44042,2.60207e-05,2.60207e-05,2.60207e-05
71,108.905,0.95001,1.26562,1.32578,0.83464,0.48373,0.55655,0.29771,1.70459,1.94651,1.44042,2.55731e-05,2.55731e-05,2.55731e-05
72,110.259,0.60558,0.64406,1.09306,0.83233,0.47632,0.55703,0.29433,1.78166,1.99124,1.47306,2.5102e-05,2.5102e-05,2.5102e-05
73,111.582,0.69007,0.93423,1.05029,0.83233,0.47632,0.55703,0.29433,1.78166,1.99124,1.47306,2.46073e-05,2.46073e-05,2.46073e-05
74,112.754,0.7958,0.63537,1.24701,0.83233,0.47632,0.55703,0.29433,1.78166,1.99124,1.47306,2.40891e-05,2.40891e-05,2.40891e-05
75,114.096,0.71104,0.5477,1.13225,0.82643,0.47037,0.57222,0.2859,1.83624,1.98968,1.49191,2.35472e-05,2.35472e-05,2.35472e-05
76,115.275,0.63437,0.74104,1.1261,0.82643,0.47037,0.57222,0.2859,1.83624,1.98968,1.49191,2.29819e-05,2.29819e-05,2.29819e-05
77,116.532,0.69625,0.65285,1.12676,0.82643,0.47037,0.57222,0.2859,1.83624,1.98968,1.49191,2.23929e-05,2.23929e-05,2.23929e-05
78,117.965,0.88152,1.01981,1.20169,0.84093,0.46667,0.59897,0.29113,1.82294,2.01884,1.49134,2.17805e-05,2.17805e-05,2.17805e-05
79,119.234,0.58744,0.82433,1.09338,0.84093,0.46667,0.59897,0.29113,1.82294,2.01884,1.49134,2.11444e-05,2.11444e-05,2.11444e-05
80,120.48,0.7618,0.74278,1.22168,0.84093,0.46667,0.59897,0.29113,1.82294,2.01884,1.49134,2.04848e-05,2.04848e-05,2.04848e-05
81,121.754,0.52892,0.51565,0.98475,0.8261,0.46839,0.57336,0.28797,1.86197,2.04468,1.53696,1.98016e-05,1.98016e-05,1.98016e-05
82,122.895,0.80403,0.67703,1.1407,0.8261,0.46839,0.57336,0.28797,1.86197,2.04468,1.53696,1.90949e-05,1.90949e-05,1.90949e-05
83,124.095,0.82394,0.87231,1.23909,0.8261,0.46839,0.57336,0.28797,1.86197,2.04468,1.53696,1.83646e-05,1.83646e-05,1.83646e-05
84,125.458,0.78672,0.56653,1.20657,0.82857,0.4821,0.60052,0.3006,1.85793,2.07497,1.53707,1.76107e-05,1.76107e-05,1.76107e-05
85,126.586,0.58664,0.7496,1.12026,0.82857,0.4821,0.60052,0.3006,1.85793,2.07497,1.53707,1.68333e-05,1.68333e-05,1.68333e-05
86,127.746,0.76755,0.66141,1.11741,0.82857,0.4821,0.60052,0.3006,1.85793,2.07497,1.53707,1.60323e-05,1.60323e-05,1.60323e-05
87,128.912,0.76439,0.80335,1.06811,0.82857,0.4821,0.60052,0.3006,1.85793,2.07497,1.53707,1.52077e-05,1.52077e-05,1.52077e-05
88,130.305,0.82827,0.86774,1.40977,0.83881,0.47796,0.52445,0.27731,1.86431,2.08826,1.52211,1.43596e-05,1.43596e-05,1.43596e-05
89,131.571,0.97088,0.96435,1.46151,0.83881,0.47796,0.52445,0.27731,1.86431,2.08826,1.52211,1.34879e-05,1.34879e-05,1.34879e-05
90,132.887,0.64209,0.62528,0.99905,0.83881,0.47796,0.52445,0.27731,1.86431,2.08826,1.52211,1.25927e-05,1.25927e-05,1.25927e-05
91,134.147,0.4707,0.51765,0.89472,0.83881,0.47796,0.52445,0.27731,1.86431,2.08826,1.52211,1.16739e-05,1.16739e-05,1.16739e-05
92,135.515,0.69959,0.67913,0.97919,0.81549,0.48631,0.53887,0.282,1.85661,2.01864,1.50313,1.07315e-05,1.07315e-05,1.07315e-05
93,136.795,0.48389,0.46425,0.99537,0.81549,0.48631,0.53887,0.282,1.85661,2.01864,1.50313,9.76562e-06,9.76562e-06,9.76562e-06
94,138.048,0.5512,0.47449,0.88746,0.81549,0.48631,0.53887,0.282,1.85661,2.01864,1.50313,8.77613e-06,8.77613e-06,8.77613e-06
95,139.333,0.43806,0.45986,0.90521,0.81549,0.48631,0.53887,0.282,1.85661,2.01864,1.50313,7.76308e-06,7.76308e-06,7.76308e-06
96,140.678,0.46217,0.51127,0.97426,0.83988,0.46667,0.54324,0.31117,1.86811,2.01453,1.49833,6.72648e-06,6.72648e-06,6.72648e-06
97,141.908,0.70772,0.63548,1.06897,0.83988,0.46667,0.54324,0.31117,1.86811,2.01453,1.49833,5.6663e-06,5.6663e-06,5.6663e-06
98,143.055,0.52313,0.4876,0.91353,0.83988,0.46667,0.54324,0.31117,1.86811,2.01453,1.49833,4.58257e-06,4.58257e-06,4.58257e-06
99,144.318,0.48156,0.46921,0.91088,0.83988,0.46667,0.54324,0.31117,1.86811,2.01453,1.49833,3.47528e-06,3.47528e-06,3.47528e-06
100,145.659,0.55978,0.51598,1.02371,0.83157,0.46667,0.57753,0.35509,1.80162,1.84677,1.47122,2.34442e-06,2.34442e-06,2.34442e-06
